country,year,cereal_yield,fdi_perc_gdp,gni_per_cap,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,pop_growth_perc,pop,urb_pop_growth_perc
MIC,1993,2502.5853284425,1.62221816385499,990.299776845399,313.668151630779,965.900721820381,9968446.68593403,2.50788431077657,816.013132175927,14.4354574630982,9.34870945475492,3924242076048.49,1.54364256100817,3974843115.01087,2.79217073658006
MIC,1994,2459.44515850682,2.00803597322432,1034.00491084806,302.360558816382,942.065037589649,9925277.49013368,2.46011046798946,791.823638148668,14.6246244778007,9.55702589568056,4266587893687.37,1.50047079502509,4034484475.09967,2.72979454241764
MIC,1995,2505.26353986738,1.97798125623168,1110.46108461111,299.862795743622,957.052653295878,10250867.0677536,2.50404271802277,786.903879431429,14.8329492297511,9.72475196842078,4830158746114.71,1.46840169884746,4093726913.67177,2.68277444451344
MIC,1996,2617.27588888652,2.24905637905277,1215.58102182241,291.860681231536,964.133635207271,10535179.7072834,2.53679329545695,770.082817328073,15.0408425047213,9.98195875491154,5254691691293.71,1.44671739932527,4152951573.21272,2.72205174386137
MIC,1997,2699.57303972639,2.78957405581644,1293.32659972598,280.218208050551,956.062420490411,10536502.4505372,2.50131949973699,734.1389934837131,15.2665549726186,10.2439439520776,5558647580686.49,1.43093685187741,4212377687.71445,2.6926381488157
MIC,1998,2723.29712604255,2.87655659262166,1246.38812472298,275.349716505292,946.831001176445,10358677.6501788,2.42521149405265,706.068925625738,15.5107759297832,10.4684288020452,5367169304348.69,1.39753491922025,4271247136.8297,2.65097349919736
MIC,1999,2783.31707553728,3.09353380018056,1217.55193675816,272.239670099657,957.351953898413,10471844.8990029,2.4189746413233,688.7854402628451,15.7767316480425,10.6411744547072,5216715255622.15,1.35313460205148,4329042859.77728,2.59401996549384
MIC,2000,2711.25725709805,2.58109397996531,1259.05118033673,261.059994405616,958.037372167181,10767846.9200962,2.45477155794709,670.043568492419,16.0694641254261,11.0520701509694,5705459808999.39,1.32716796218946,4386496529.68169,2.56125306506564
MNA,1991,1636.09130840151,0.631684143967312,1233.49166997493,175.66279920707,840.202126072279,597625.188919937,2.58610268179761,574.448093595347,20.3808222090651,3.15414291865455,246650536566.113,2.52102345551131,231091051.846606,3.31814893490913
MNA,1992,1527.88859906096,1.22308739131344,1252.62754080995,173.254488149128,850.535925446691,637511.141062251,2.69653749619521,589.063374694497,20.3522251315211,3.16269177675258,267264375116.789,2.30531239124367,236418422.499881,3.05469304090245
MNA,1993,1558.36711239666,1.37259739228261,1212.86107928529,182.360741878757,884.596561962545,640556.430389646,2.65133264443558,590.860603583661,20.3308724843088,3.17463462828453,270991764732.225,2.19081459385893,241597911.802579,2.92995252366408
MNA,1994,1865.73875144882,1.1384856456963,1245.58307489792,186.380967433345,917.85220249313,717998.504887652,2.91047506336005,648.633001009878,20.3297457774086,3.1902194502032,276725766400.505,2.10957792331182,246694608.013149,2.84631685691907
MNA,1995,1770.13498265768,0.35669417018529,1285.2683248245,188.435756162834,938.284227104458,736006.071175434,2.9234844200771,644.8997042397781,20.3039506198788,3.24902127628958,315651481424.615,2.05186733265643,251756454.086396,2.79072815287469
MNA,1996,1981.09293322678,0.400417026010386,1436.65183500027,181.605811061373,936.228389399566,739326.537249281,2.87821316774707,610.029834931743,20.2607803227515,3.54436199925286,363141324584.34,2.03113697024857,256869972.500331,2.69133594331628
MNA,1997,1847.33389693195,0.544219457521941,1530.0382654142,190.548129587751,931.898533548002,751419.638,2.86810473083411,601.42672230681,20.2109065741947,3.54441007135058,373685081216.798,1.99389939255981,261991701.321684,2.65967106024388
